base_demand_MW,morphed_base_demand_MW,ev_demand_MW,total_demand_MW
18019.523622315013,65566.20209554434,4590.0,70156.20209554434
18232.8399973191,65901.29707907216,4560.0,70461.29707907216
18288.334447323767,65988.47234543343,4500.0,70488.47234543343
18198.991130122686,65848.12448228769,4470.0,70318.12448228769
18173.576835666852,65808.20160912859,3810.0,69618.20160912859
18169.2962814513,65801.47736095813,1980.0,67781.47736095813
18221.880410573864,65884.08085486155,1875.0,67759.08085486155
18392.752611115142,66152.5010229084,2250.0,68402.5010229084
18948.403887090903,67025.36394853587,2355.0,69380.36394853587
21271.727980769498,70675.03336039477,2355.0,73030.03336039477
21513.52286587027,71054.86474013956,2325.0,73379.86474013956
21227.388050871145,70605.38053567079,2415.0,73020.38053567079
19972.08788310051,68633.45133411033,2190.0,70823.45133411033
